song_title,artist,rank_s,rank_t,rank_b,tempo
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",1,,,169.928
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",3,,,77.011
Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",4,,,116.032
INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",2,,,150.087
Desesperados,"Rauw Alejandro, Chencho Corleone",8,,,90.02
Easy On Me,Adele,1,,,141.981
Una Noche en Medellín,Cris Mj,16,,,96.018
Where Are You Now,"Lost Frequencies, Calum Scott",18,,,120.966
Infinity,Jaymes Young,11,,,121.963
Pepas,Farruko,4,,,130.001
The Motto,"Tiësto, Ava Max",23,,,117.953
My Universe,"Coldplay, BTS",3,,,105.006
I Love You So,The Walters,21,,,75.977
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Tainy, Bad Bunny, Julieta Venegas",12,,,169.888
Sweetest Pie,"Megan Thee Stallion, Dua Lipa",17,,,123.977
Something In The Way,Nirvana,19,,,104.506
Do It To It,"ACRAZE, Cherish",9,,,124.927
Yonaguni,Bad Bunny,3,,,179.951
We Don't Talk About Bruno,"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",8,,,205.863
Kiss Me More (feat. SZA),"Doja Cat, SZA",3,,,110.97
MANIAC,Stray Kids,39,,,89.925
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",4,,,102.977
traitor,Olivia Rodrigo,7,,,100.607
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,"The Weeknd, Ariana Grande",5,,,118.091
CANDY,ROSALÍA,44,,,179.905
Starlight,Dave,45,,,124.026
Softcore,The Neighbourhood,35,,,93.986
DANÇARINA,"PEDRO SAMPAIO, Mc Pedrinho",32,,,134.999
Without Me,Eminem,31,,,112.238
Medallo,"Blessd, Justin Quiles, Lenny Tavárez",48,,,90.02
Butter,BTS,2,,,109.997
Mount Everest,Labrinth,36,,,87.724
Jordan,Ryan Castro,53,,,179.923
Save Your Tears,The Weeknd,2,,,118.051
LA FAMA (with The Weeknd),"ROSALÍA, The Weeknd",32,,,136.016
505,Arctic Monkeys,57,,,140.267
"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera, Quevedo, Juseph, Abhir Hathi, Bejo, Cruz Cafuné, EL IMA",58,,,173.974
DÁKITI,"Bad Bunny, Jhay Cortez",1,,,109.928
Tacones Rojos,Sebastian Yatra,45,,,123.014
Cool for the Summer,Demi Lovato,61,,,114.06
Mon Amour - Remix,"zzoilo, Aitana",34,,,116.041
Bones,Imagine Dragons,63,,,114.071
Yo Voy (feat. Daddy Yankee),Zion & Lennox,63,,,95.06
ARASAN DA,UZI,65,,,105.978
Happier Than Ever,Billie Eilish,6,,,81.055
she's all i wanna be,Tate McRae,38,,,160.036
pushin P (feat. Young Thug),"Gunna, Future, Young Thug",14,,,77.502
Toxic,BoyWithUke,23,,,179.629
maybe (feat. Bring Me The Horizon),"Machine Gun Kelly, Bring Me The Horizon",72,,,176.105
Watermelon Sugar,Harry Styles,4,,,95.39
IDGAF (with blackbear),"BoyWithUke, blackbear",74,,,97.953
Chale,Eden Muñoz,75,,,188.651
Sometimes,Juice WRLD,77,,,121.987
Hati-Hati di Jalan,Tulus,45,,,71.969
The Real Slim Shady,Eminem,51,,,104.504
A Tu Merced,Bad Bunny,52,,,92.023
SAOKO,ROSALÍA,80,,,99.988
Volví,"Aventura, Bad Bunny",10,,,175.896
One Right Now (with The Weeknd),"Post Malone, The Weeknd",9,,,97.014
deja vu,Olivia Rodrigo,3,,,180.917
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",1,,,90.03
Tom's Diner,"AnnenMayKantereit, Giant Rooks",90,,,98.222
Believer,Imagine Dragons,16,,,124.949
Fingers Crossed,Lauren Spencer Smith,17,,,109.414
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",1,,,89.96
Notion,The Rare Occasions,67,,,159.488
Dark Red,Steve Lacy,66,,,172.041
Moth To A Flame (with The Weeknd),"Swedish House Mafia, The Weeknd",7,,,120.122
TO THE MOON,"Jnr Choi, Sam Tompkins",55,,,144.047
Pantysito,"Alejo, Feid, ROBI",99,,,97.993
Dynamite,BTS,2,,,114.044
Still D.R.E.,"Dr. Dre, Snoop Dogg",29,,,93.431
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,44,,,171.355
lovely (with Khalid),"Billie Eilish, Khalid",24,,,115.284
All For Us,"Labrinth, Zendaya",43,,,141.722
I’m Tired (with Zendaya) - Bonus Track,"Labrinth, Zendaya",29,,,131.721
Plan A,Paulo Londra,106,,,173.935
Someone You Loved,Lewis Capaldi,4,,,109.891
You Right,"Doja Cat, The Weeknd",15,,,128.986
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago PZK",37,,,96.474
Yellow,Coldplay,101,,,173.372
La Santa,"Bad Bunny, Daddy Yankee",14,,,93.037
Nail Tech,Jack Harlow,36,,,150.127
Malvadão 3,"Xamã, Gustah, Neo Beats",33,,,133.133
No Role Modelz,J. Cole,113,,,100.028
Revenge,XXXTENTACION,63,,,139.999
Formula,Labrinth,68,,,144.654
DARARI,TREASURE,102,,,84.955
Knife Talk (with 21 Savage ft. Project Pat),"Drake, 21 Savage, Project Pat",10,,,145.887
Mujeriego,Ryan Castro,92,,,79.949
Fuera del mercado,Danny Ocean,122,,,92.06
sentaDONA (Remix) s2,"Davi Kneip, Mc Frog, Dj Gabriel do Borel, Luísa Sonza",123,,,135.02
Ya No Somos Ni Seremos,Christian Nodal,37,,,139.953
Volando - Remix,"Mora, Bad Bunny, Sech",19,,,153.979
Counting Stars,OneRepublic,117,,,122.016
Demasiadas Mujeres,C. Tangana,127,,,126.043
Smells Like Teen Spirit,Nirvana,109,,,116.731
Unstoppable,Sia,112,,,173.799
Blank Space,Taylor Swift,130,,,95.997
Down Under (feat. Colin Hay),"Luude, Colin Hay",72,,,171.835
Daddy Issues,The Neighbourhood,99,,,85.012
Locked out of Heaven,Bruno Mars,111,,,143.986
'Till I Collapse,"Eminem, Nate Dogg",81,,,171.447
Sacrifice,The Weeknd,3,,,122.0
Payphone,"Maroon 5, Wiz Khalifa",136,,,110.015
LA CANCIÓN,"J Balvin, Bad Bunny",17,,,176.089
Thinking with My Dick (feat. Juicy J),"Kevin Gates, Juicy J",128,,,81.003
Shape of You,Ed Sheeran,1,,,95.977
The Nights,Avicii,44,,,125.983
Gangsta's Paradise,"Coolio, L.V.",116,,,79.975
"Surface Pressure - From ""Encanto""/Soundtrack Version",Jessica Darrow,23,,,180.042
Riptide,Vance Joy,122,,,101.654
Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",32,,,110.054
Bohemian Rhapsody - Remastered 2011,Queen,11,,,71.105
No Lie,"Sean Paul, Dua Lipa",80,,,102.04
Malvada,Zé Felipe,58,,,134.947
Don't Be Shy,"Tiësto, KAROL G",38,,,119.986
Perfect,Ed Sheeran,4,,,95.05
CHICKEN TERIYAKI,ROSALÍA,152,,,97.936
One Dance,"Drake, WizKid, Kyla",12,,,103.967
Nostálgico,"Rvssian, Rauw Alejandro, Chris Brown",40,,,98.026
Mr. Brightside,The Killers,98,,,148.033
Nobody Like U,"4*TOWN (From Disney and Pixar’s Turning Red), Jordan Fisher, Finneas O'Connell, Topher Ngo, Grayson Villanueva, Josh Levi",157,,,105.026
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,,,93.023
Circles,Post Malone,1,,,120.042
La Zona,Bad Bunny,60,,,93.992
Take Me To Church,Hozier,108,,,128.945
Heather,Conan Gray,12,,,102.078
In Da Club,50 Cent,77,,,90.051
Mal Feito - Ao Vivo,"Hugo & Guilherme, Marília Mendonça",72,,,123.942
Just a Cloud Away,Pharrell Williams,165,,,112.56
this is what falling in love feels like,JVKE,142,,,128.983
Dance Monkey,Tones And I,1,,,98.029
happier,Olivia Rodrigo,12,,,168.924
Hope,XXXTENTACION,42,,,146.04
Se Le Ve,"Dímelo Flow, Dalex, Sech, Justin Quiles, Arcangel, De La Ghetto, Lenny Tavárez",110,,,83.997
Meet Me At Our Spot,"THE ANXIETY, WILLOW, Tyler Cole",24,,,94.995
Wake Me Up,Avicii,13,,,124.08
"Residente: Bzrp Music Sessions, Vol. 49","Bizarrap, Residente",18,,,71.378
love nwantiti (feat. Dj Yo! & AX'EL) - Remix,"CKay, Dj Yo!, AX'EL",14,,,119.9
Freaky Deaky,"Tyga, Doja Cat",83,,,104.019
Excuses,"AP Dhillon, Gurinder Gill, Intense",56,,,94.984
Why'd You Only Call Me When You're High?,Arctic Monkeys,104,,,92.004
Lucid Dreams,Juice WRLD,3,,,83.903
Lost in the Fire (feat. The Weeknd),"Gesaffelstein, The Weeknd",12,,,100.966
BIZCOCHITO,ROSALÍA,180,,,116.972
Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",4,,,165.995
Can't Hold Us (feat. Ray Dalton),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",149,,,146.097
Monëy so big,Yeat,184,,,138.016
HENTAI,ROSALÍA,186,,,124.279
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",5,,,148.088
TOMBOY,(G)I-DLE,189,,,124.032
Something Just Like This,"The Chainsmokers, Coldplay",2,,,103.019
Thunder,"Gabry Ponte, LUM!X, Prezioso",110,,,101.216
Do I Wanna Know?,Arctic Monkeys,117,,,85.03
ABALO EMOCIONAL - Ao Vivo,Luan Santana,194,,,185.936
Señorita,"Shawn Mendes, Camila Cabello",1,,,116.967
Stan,"Eminem, Dido",138,,,80.063
Before You Go,Lewis Capaldi,19,,,111.881
Space Song,Beach House,174,,,147.067
Say You Won't Let Go,James Arthur,7,,,85.043
Streets,Doja Cat,9,,,90.035
