song_title,artist,rank_s,rank_t,rank_b,tempo
'Til You Can't,Cody Johnson,,,34.0,
'Till I Collapse,"Eminem, Nate Dogg",81.0,,,171.447
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofía Reyes,,82.0,,94.968
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofía Reyes, Jason Derulo, De La Ghetto",31.0,,,94.968
10 Things I Hate About You,Leah Kate,117.0,,,153.967
2 Be Loved (Am I Ready),Lizzo,167.0,,,155.932
2055,Sleepy Hallow,31.0,,,80.511
212,"Chefin, Mainstreet",89.0,,,154.037
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",141.0,,,115.013
295,Sidhu Moose Wala,141.0,,,91.366
2step (feat. Lil Baby),"Ed Sheeran, Lil Baby",131.0,,,95.055
34+35,Ariana Grande,,80.0,,109.978
5 Foot 9,Tyler Hubbard,,,67.0,
505,Arctic Monkeys,57.0,,,140.267
712PM,Future,61.0,,,146.971
A Holly Jolly Christmas,Burl Ives,,,89.0,
A Keeper,Drake,28.0,,,121.909
A Tale By Quincy,The Weeknd,54.0,,,67.289
A Tu Merced,Bad Bunny,52.0,,,92.023
AA,Walker Hayes,,,61.0,
ABALO EMOCIONAL - Ao Vivo,Luan Santana,194.0,,,185.936
ABCDEFU,Gayle,,,17.0,
ACORDA PEDRINHO,Jovem Dionisio,77.0,,,124.016
ALIEN SUPERSTAR,Beyoncé,24.0,,,121.892
ALL MINE,Brent Faiyaz,188.0,,,141.967
ALL UP IN YOUR MIND,Beyoncé,148.0,,,135.869
AM Remix,"Nio Garcia, J Balvin, Bad Bunny",14.0,,,172.031
AMERICA HAS A PROBLEM,Beyoncé,152.0,,,126.035
AMG,Jt5k,,0.0,,87.849
ARASAN DA,UZI,65.0,,,105.978
About Damn Time,Lizzo,9.0,92.0,12.0,108.965
Acapulco,Jason Derulo,90.0,,,122.062
Adore You,Harry Styles,6.0,,,99.048
Aesthetic,Xilo,,2.0,,169.837
Afraid To Feel,LF SYSTEM,150.0,86.0,,127.87
After Dark,Mr.Kitty,112.0,,,140.019
Agosto,Bad Bunny,30.0,,,115.018
Aguacero,Bad Bunny,22.0,,,121.391
Ai Preto,"L7NNON, DJ Biel do Furduncinho, Bianca",140.0,,,129.947
Ain't Shit,Doja Cat,22.0,81.0,,124.097
Alien Blues,Vundabar,118.0,,,82.282
All For Us,"Labrinth, Zendaya",43.0,,,141.722
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",108.0,,,70.956
All I Want for Christmas Is You,Mariah Carey,,,65.0,
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1.0,,,93.023
All Too Well (Taylor's Version),Taylor Swift,,,76.0,
All of Me,John Legend,110.0,,,119.93
Ameno Amapiano Remix (You Wanna Bamba),Goya Menor,,68.0,,112.998
Andrea,"Bad Bunny, Buscabulla",21.0,,,103.071
Angel Baby,Troye Sivan,59.0,,,72.498
Another Love,Tom Odell,31.0,89.0,,122.758
Antes de Perderte,Duki,173.0,,,110.031
