song_title,artist,rank_t,tempo
Glimpse of Us,Joji,97,169.914
As It Was,Harry Styles,96,173.93
Running Up That Hill (A Deal With God),Kate Bush,95,108.375
Late Night Talking,Harry Styles,93,114.996
Jimmy Cooks (feat. 21 Savage),Drake,92,165.921
About Damn Time,Lizzo,92,108.966
MIDDLE OF THE NIGHT,Elley Duhé,91,185.727
Sweater Weather,The Neighbourhood,90,124.053
Dandelions,Ruth B.,90,116.959
Blinding Lights,The Weeknd,90,171.005
Until I Found You,Stephen Sanchez,90,101.358
Another Love,Tom Odell,89,122.769
Heat Waves,Glass Animals,89,80.87
Woman,Doja Cat,89,107.998
First Class,Jack Harlow,89,106.998
SNAP,Rosa Linn,89,169.985
STAY (with Justin Bieber),The Kid LAROI,89,169.928
good 4 u,Olivia Rodrigo,88,166.928
THATS WHAT I WANT,Lil Nas X,88,87.981
The Motto,Tiësto,87,117.953
abcdefu,GAYLE,87,121.932
Betty (Get Money),Yung Gravy,87,102.004
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,87,77.011
MAMIII,"Becky G, KAROL G",87,93.991
Wait a Minute!,WILLOW,86,101.003
House of Memories,Panic! At The Disco,86,109.952
Beggin',Måneskin,86,134.002
Envolver,Anitta,86,91.993
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,86,149.995
Bad Habit,Steve Lacy,86,168.946
Afraid To Feel,LF SYSTEM,86,127.87
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,86,90.03
Freaks,Surf Curse,85,179.626
Levitating (feat. DaBaby),Dua Lipa,85,102.977
Need to Know,Doja Cat,85,130.041
Thousand Miles,The Kid LAROI,84,80.565
The Less I Know The Better,Tame Impala,84,116.879
love nwantiti (ah ah ah),CKay,84,93.005
You Right,Doja Cat,84,128.986
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,83,122.98
The Business,Tiësto,83,120.031
Cooped Up (with Roddy Ricch),Post Malone,83,93.923
Bam Bam,"Camila Cabello, Ed Sheetan",83,94.996
Better Days (NEIKED x Mae Muller x Polo G),NEIKED,83,110.054
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofía Reyes,82,94.968
Electric Love,BØRNS,82,120.041
Todo De Ti,Rauw Alejandro,82,127.949
telepatía,Kali Uchis,82,83.97
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,82,99.048
death bed (coffee for your head),Powfu,82,144.026
Kiss Me More (feat. SZA),Doja Cat,82,110.968
What You Know Bout Love,Pop Smoke,81,83.995
Jiggle Jiggle,Duke & Jones,81,99.992
The Box,Roddy Ricch,81,116.971
Meet Me At Our Spot,THE ANXIETY,81,94.995
Good Days,SZA,81,121.002
Ain't Shit,Doja Cat,81,124.097
Life Goes On,Oliver Tree,80,79.982
Say So,Doja Cat,80,110.962
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,80,125.971
WAP (feat. Megan Thee Stallion),Cardi B,80,133.073
34+35,Ariana Grande,80,109.978
ROCKSTAR (feat. Roddy Ricch),DaBaby,80,89.977
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),"Amaarae, Kali Uchis, Moliy",80,110.02
