song_title,artist,rank_t,tempo
Running Up That Hill (A Deal With God),Kate Bush,95,108.375
As It Was,Harry Styles,96,173.93
Sunroof,Nicky Youre,44,131.43
Heat Waves,Glass Animals,89,80.87
About Damn Time,Lizzo,92,108.966
Glimpse of Us,Joji,97,169.914
Bad Habit,Steve Lacy,86,168.946
STAY (with Justin Bieber),The Kid LAROI,89,169.928
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,87,77.011
First Class,Jack Harlow,89,106.998
Afraid To Feel,LF SYSTEM,86,127.87
Betty (Get Money),Yung Gravy,87,102.004
abcdefu,GAYLE,87,121.932
Being Good Is Boring,Jena Rose,55,111.986
MIDDLE OF THE NIGHT,Elley Duhé,91,185.727
Envolver,Anitta,86,91.993
AMG,Jt5k,0,87.849
SNAP,Rosa Linn,89,169.985
Baby Girl,Disco Lines,76,120.968
Flex On My Ex (with Bankrol Hayden),KillBunk,57,85.285
House of Memories,Panic! At The Disco,86,109.952
The Plan,Arman Aydin,58,124.034
Thousand Miles,The Kid LAROI,84,80.565
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,86,149.995
Until I Found You,Stephen Sanchez,90,101.358
Oh No,Kreepa,58,176.123
Cooped Up (with Roddy Ricch),Post Malone,83,93.923
TO THE MOON,Jnr Choi,79,144.047
Dreamer,Astelle,42,150.056
Left and Right (Charlie Puth) [feat. Jung Kook of BTS] - Sped Up Version,sped up nightcore,58,114.269
Pepas,YES YES,58,125.973
Bam Bam,"Camila Cabello, Ed Sheetan",83,94.996
Fever - Remix,XY&O,0,120.018
On My Way!,P.S.,54,119.021
Another Love,Tom Odell,89,122.769
Frozen,Madonna,76,110.005
Riptide,Viva La Panda,51,101.996
Down Under (feat. Colin Hay),Luude,72,171.966
Meet Me At Our Spot,THE ANXIETY,81,94.995
When You're Gone,Paradigm,53,124.036
That Bxtch,Taylor Watson,47,163.87
Long Road,HotBlock Jmoe,52,162.039
Without You,John De Sohn,0,124.968
Light Switch,Charlie Puth,79,184.009
I Wanna Know,Alex Alexander,52,112.043
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofía Reyes,82,94.968
credit union,Kinrose,32,148.95
love nwantiti (ah ah ah),CKay,84,93.005
Bad Habits,Ed Sheeran,22,126.026
Leap of Faith,Alex Alexander,51,169.893
Ocean Eyes,Farux,42,125.989
Chaa Chaa Chaa (feat. HoodCelebrityy),Girll Codee,45,139.925
Late Night Talking,Harry Styles,93,114.996
Moi... Lolita,Monaldin,49,109.92
Warning / Signs,Matvey Emerson,46,121.976
Serenity,Shab,46,117.979
MAMIII,"Becky G, KAROL G",87,93.991
Running To You (feat. Caden),VINAI,65,124.09
Good Morning,P.S.,50,171.907
MONTERO (Call Me By Your Name),Lil Nas X,4,178.818
Tainted Love,Thatsimo,47,126.024
Build a Bitch,Bella Poarch,76,102.931
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),"Amaarae, Kali Uchis, Moliy",80,110.02
Can't Get You Out of My Head,loafers,52,129.886
